Title
"A well-known specialty retail business in the Philadelphia area is for sale with a gross revenue of $43,000,000."
"A 32 year old import business with wholesale distribution throughout the country has come on the market.  Located in Berks County, PA, this company has been in business for over 32 years and has an excellent reputation for quality products. Revenues and profits have been increasing yearly. A new owner does not need industry experience. The current owner is retiring."
"Highly successful specialty E-Commerce business which sells on many well-known sites, is available. No specific industry experience is required to run and grow this company. Total income increases yearly at an average of 25% each year. Located in Burlington County, New Jersey, the business is in a position to be taken to the next level."
